No.	NAME	X1A	X2A	X3A	X4A	X5A	X3v	X5v	X0Av	X2Av	X4Av	X4sol
1	Ceftriaxone	0.438879486110978	0.280832969550728	0.171748670406955	0.108930900270421	0.0709066664182411	8.03167927848668	4.47964925369371	0.579711659362845	0.176874507635518	0.0609105139798409	13.4077235754273
2	Nocardicin B	0.450428946271794	0.293927764528053	0.185978303405866	0.11867111081057	0.0756504749989419	5.65111502002945	2.16201344819026	0.529394391249531	0.153398259032176	0.0428532335538272	9.49368886484559
3	BL-S217	0.44431499042668	0.294052099962506	0.174537741442761	0.108550193406572	0.0726230551998362	6.74214038976609	3.88253509723411	0.600045904217554	0.198104295076529	0.066531896614328	9.53018882280063
4	Nocardicin B	0.450428946271794	0.293927764528053	0.185978303405866	0.11867111081057	0.0756504749989419	5.65111502002945	2.16201344819026	0.529394391249531	0.153398259032176	0.0428532335538272	9.49368886484559
5	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
6	Cefoperazone	0.437711391842614	0.277230514173411	0.174872984953003	0.111175845391126	0.070106037883668	9.61658536330341	5.06894100515626	0.566628148018986	0.169411595408948	0.0572932513556714	15.4661314742191
7	SCE-796	0.439064429098685	0.28392621120073	0.169219297028377	0.111043371395815	0.0697997579971781	7.1488316715507	3.96964926610414	0.539682740773359	0.165685148198076	0.0542503757741277	11.8963007691262
8	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
9	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
10	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
11	Cefoperazone	0.437711391842614	0.277230514173411	0.174872984953003	0.111175845391126	0.070106037883668	9.61658536330341	5.06894100515626	0.566628148018986	0.169411595408948	0.0572932513556714	15.4661314742191
12	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
13	SCE-796	0.439064429098685	0.28392621120073	0.169219297028377	0.111043371395815	0.0697997579971781	7.1488316715507	3.96964926610414	0.539682740773359	0.165685148198076	0.0542503757741277	11.8963007691262
14	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
15	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
16	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
17	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
18	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
19	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
20	Nocardicin B	0.450428946271794	0.293927764528053	0.185978303405866	0.11867111081057	0.0756504749989419	5.65111502002945	2.16201344819026	0.529394391249531	0.153398259032176	0.0428532335538272	9.49368886484559
21	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
22	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
23	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
24	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
25	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
26	Cyclacillin	0.426886255564781	0.276953053877467	0.162456357299249	0.103023760907835	0.0643914577149446	7.01940562778865	4.02292031264217	0.632271848904086	0.235183952426139	0.0757402978324249	8.55820792836995
27	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
28	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
29	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
30	Cefoperazone	0.437711391842614	0.277230514173411	0.174872984953003	0.111175845391126	0.070106037883668	9.61658536330341	5.06894100515626	0.566628148018986	0.169411595408948	0.0572932513556714	15.4661314742191
31	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
32	Cefoperazone	0.437711391842614	0.277230514173411	0.174872984953003	0.111175845391126	0.070106037883668	9.61658536330341	5.06894100515626	0.566628148018986	0.169411595408948	0.0572932513556714	15.4661314742191
33	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
34	Imipenem	0.45167950786633	0.286272442278497	0.160351900544043	0.104164291580214	0.0636638219113037	4.71941892283673	2.61374336487679	0.594952753751293	0.201553283072049	0.0641012406261774	6.79920623014558
35	Cefoperazone	0.437711391842614	0.277230514173411	0.174872984953003	0.111175845391126	0.070106037883668	9.61658536330341	5.06894100515626	0.566628148018986	0.169411595408948	0.0572932513556714	15.4661314742191
36	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
37	Ceftriaxone	0.438879486110978	0.280832969550728	0.171748670406955	0.108930900270421	0.0709066664182411	8.03167927848668	4.47964925369371	0.579711659362845	0.176874507635518	0.0609105139798409	13.4077235754273
38	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
39	Cefsulodin	0.435515117144417	0.287696262721411	0.16676842331526	0.109866482700262	0.0691781883654446	8.19808464498066	4.41027759850174	0.556163585803417	0.18368453752642	0.060269431807406	13.1169388291627
40	Ceftazidime	0.437272704638642	0.286437508569213	0.175867661388216	0.108268259787163	0.0688661666731374	7.61201444715492	3.95756096516	0.572936943586501	0.180170063620811	0.0557768738148655	12.0945207513065
41	Nocardicin B	0.450428946271794	0.293927764528053	0.185978303405866	0.11867111081057	0.0756504749989419	5.65111502002945	2.16201344819026	0.529394391249531	0.153398259032176	0.0428532335538272	9.49368886484559
42	Cyclacillin	0.426886255564781	0.276953053877467	0.162456357299249	0.103023760907835	0.0643914577149446	7.01940562778865	4.02292031264217	0.632271848904086	0.235183952426139	0.0757402978324249	8.55820792836995
43	Cefuroxime	0.446627193887067	0.286459615705053	0.167886061182756	0.107750517634458	0.0698875427775939	5.40052406527474	2.92278739856498	0.542523784350297	0.156801768314913	0.0512158700490878	9.53629163024699
44	Cefuroxime	0.446627193887067	0.286459615705053	0.167886061182756	0.107750517634458	0.0698875427775939	5.40052406527474	2.92278739856498	0.542523784350297	0.156801768314913	0.0512158700490878	9.53629163024699
