No.	NAME	MWC10	SRW09	MPC05	MPC10	piPC02	piPC05	piPC10	piID	PCR
1	Ceftriaxone	12.5237296957464	6.55535689181067	4.83628190695148	5.41610040220442	4.45725005591147	5.6423502351377	6.56877991214281	9.57791754505427	1.18301274172907
2	Nocardicin B	12.2075066169016	0	4.56434819146784	4.84418708645859	4.43081679884331	5.72725483084134	6.37011500102059	9.63290480396841	1.26323319201299
3	BL-S217	12.2130333634258	0	4.57471097850338	4.72738781871234	4.19720194766181	5.42852292220298	5.70440727942504	8.8365101861791	1.19333482054167
4	Nocardicin B	12.2075066169016	0	4.56434819146784	4.84418708645859	4.43081679884331	5.72725483084134	6.37011500102059	9.63290480396841	1.26323319201299
5	Ceftazidime	12.5322672477403	6.55535689181067	4.81218435537242	5.43372200355424	4.51906748693468	5.77784580295626	6.9446294912543	9.97024918666331	1.24518631636637
6	Cefoperazone	12.7058383330586	6.52941883826223	5.02388052084628	5.68697535633982	4.65157655880225	5.82618445616888	6.89067269900086	10.1820282627298	1.19468426571599
7	SCE-796	12.4865828112313	0	4.81218435537242	5.44241771052179	4.47733681447821	5.86434115077879	7.07881575042612	10.2922077755609	1.27761580728308
8	Imipenem	12.0954594698872	7.26052259808985	4.23410650459726	3.66356164612965	3.71357206670431	4.76217393479776	4.60517018598809	7.07918439460967	1.1081030525064
9	Ceftazidime	12.5322672477403	6.55535689181067	4.81218435537242	5.43372200355424	4.51906748693468	5.77784580295626	6.9446294912543	9.97024918666331	1.24518631636637
10	Ceftazidime	12.5322672477403	6.55535689181067	4.81218435537242	5.43372200355424	4.51906748693468	5.77784580295626	6.9446294912543	9.97024918666331	1.24518631636637
11	Cefoperazone	12.7058383330586	6.52941883826223	5.02388052084628	5.68697535633982	4.65157655880225	5.82618445616888	6.89067269900086	10.1820282627298	1.19468426571599
12	Cefsulodin	12.5608162255858	0	4.83628190695148	5.48893772615669	4.56434819146784	5.89509130245039	7.10870434478658	10.3275359480339	1.27550559038401
13	SCE-796	12.4865828112313	0	4.81218435537242	5.44241771052179	4.47733681447821	5.86434115077879	7.07881575042612	10.2922077755609	1.27761580728308
