No.	NAME	MDEC-11	MDEC-12	MDEC-22	MDEC-23	MDEC-24	MDEC-33	MDEC-44	MDEO-11	MDEO-12	MDEO-22	MDEN-12	MDEN-13	MDEN-22	MDEN-23	MDEN-33
1	Ceftriaxone	0.0666666666666667	0.80908441875123	0.552604724796058	8.79065715130865	0	16.4376802893746	0	2.07337840281925	0.641095957214413	0	0.736711596202079	0.172132593164774	1.43190357992364	1.91777788447705	0.166666666666667
2	Nocardicin B	0	0	9.55162185897102	24.6836258369132	0	11.9368063563774	0	3.03116262643285	0.918485151984108	0	0.190692517849118	0.0714285714285714	0.333333333333333	0.471404520791032	0
3	BL-S217	0.0588235294117647	2.13940670393229	4.6010702166638	12.3073717539516	0	9.97799264822525	0	1.64482662185323	1.02966808427902	0	0	0	0	0.436435780471985	0.1
4	Nocardicin B	0	0	9.55162185897102	24.6836258369132	0	11.9368063563774	0	3.03116262643285	0.918485151984108	0	0.190692517849118	0.0714285714285714	0.333333333333333	0.471404520791032	0
5	Ceftazidime	0.5	1.30582085119234	7.86980515303078	13.8518979779846	0.71488318622235	13.938392292054	0	2.1512124097663	1.10811413207872	0	0.766309432393553	0.18490006540841	0.90856029641607	0.88513131385965	0.25
6	Cefoperazone	0.05	1.9812021221396	6.15729726761641	22.6050195822902	0	18.774692413885	0	3.58512408836726	0	0	0	0	1.97721469226603	3.09746631926929	0.705931499938116
7	SCE-796	0	0	10.0891645536743	23.7085015123625	0	15.2410414587464	0	2.91946811390001	0	0	0.0833333333333333	0.298142396999972	0	0.436435780471985	0.25
8	Imipenem	0	0.581430736968219	2.18224727194344	6.91966219360523	0	9.74951042483225	0	1.29702069135819	0	0	0.5	0.125	0	0.166666666666667	0
9	Ceftazidime	0.5	1.30582085119234	7.86980515303078	13.8518979779846	0.71488318622235	13.938392292054	0	2.1512124097663	1.10811413207872	0	0.766309432393553	0.18490006540841	0.90856029641607	0.88513131385965	0.25
10	Ceftazidime	0.5	1.30582085119234	7.86980515303078	13.8518979779846	0.71488318622235	13.938392292054	0	2.1512124097663	1.10811413207872	0	0.766309432393553	0.18490006540841	0.90856029641607	0.88513131385965	0.25
