No.	NAME	Ui	Hy	MLOGP	MLOGP2	LOGP99	LOGPcons	ESOL	SAacc	SAdon	PDI	SAscore	PBF
1	Ceftriaxone	3.52356195605701	1.04869928537151	1.40379782059414	1.97064832110487	-2.14379979670048	-0.370000988053167	-2.3667493142911	291.459131706502	50.9079381550958	0.940459652963229	5.19149548479702	0.782421009484568
2	Nocardicin B	3.58496250072116	3.15129381993322	-3.34610470428984	11.1964166920706	-3.48199988901615	-2.973901531102	-0.0161123374152115	284.69622836701	136.396950212689	0.897203146719085	5.23173829554652	1.1129271809004
3	BL-S217	3.16992500144231	-0.199885400126299	0.977861081265475	0.956212294253684	-1.42979987710714	-0.356712931947223	-1.71175019074587	159.337199982302	18.0107506830303	0.927426678159469	4.77064637360811	0.805989006875538
4	Nocardicin B	3.58496250072116	3.15129381993322	-3.34610470428984	11.1964166920706	-3.48199988901615	-2.973901531102	-0.0161123374152115	284.69622836701	136.396950212689	0.897203146719085	5.23173829554652	1.05288535458952
5	Ceftazidime	3.64385618977472	0.943095985856162	0.667053564184496	0.444960457491239	-2.63389976322651	-0.983682066347337	-1.860158700009	255.261194163907	50.9079381550958	0.935431468659995	4.94024980242946	0.644780942745989
6	Cefoperazone	3.75488750216347	0.899043532512595	0.871946471835573	0.760290649746503	-2.44669987261295	-0.84435113359246	-2.53321031328683	315.313865868413	78.7048445269818	0.933890125256147	5.03583513479131	1.38292932617672
7	SCE-796	3.70043971814109	0.90500644937319	0.752724746032254	0.566594543289321	-2.98939987272024	-1.23765837556266	-1.50093080164522	233.001965987178	50.9079381550958	0.955204558690907	4.95030207177573	1.1149584770555
8	Imipenem	2.32192809488736	2.07555209243892	0.189245909423727	0.0358140142336136	-3.63979998975992	-2.48451802677873	0.473915510584441	155.617237979816	92.366060181117	0.883419078421687	5.3339168814995	0.571161007395778
9	Ceftazidime	3.64385618977472	0.943095985856162	0.667053564184496	0.444960457491239	-2.63389976322651	-0.983682066347337	-1.860158700009	255.261194163907	50.9079381550958	0.935431468659995	4.94024980242946	0.721560056181057
10	Ceftazidime	3.64385618977472	0.943095985856162	0.667053564184496	0.444960457491239	-2.63389976322651	-0.983682066347337	-1.860158700009	255.261194163907	50.9079381550958	0.935431468659995	4.94024980242946	1.53780503383408
11	Cefoperazone	3.75488750216347	0.899043532512595	0.871946471835573	0.760290649746503	-2.44669987261295	-0.84435113359246	-2.53321031328683	315.313865868413	78.7048445269818	0.933890125256147	5.03583513479131	1.28184885375063
12	Cefsulodin	3.8073549220576	0.938431264726317	0.156899284760217	0.0246173855582677	-2.23659991892055	-1.25446687805344	-1.70193998663091	249.633295633379	50.9079381550958	0.962267730441595	5.01920934327379	0.842715284066101
13	SCE-796	3.70043971814109	0.90500644937319	0.752724746032254	0.566594543289321	-2.98939987272024	-1.23765837556266	-1.50093080164522	233.001965987178	50.9079381550958	0.955204558690907	4.95030207177573	0.995580091407785
14	Cefsulodin	3.8073549220576	0.938431264726317	0.156899284760217	0.0246173855582677	-2.23659991892055	-1.25446687805344	-1.70193998663091	249.633295633379	50.9079381550958	0.962267730441595	5.01920934327379	0.876483569004561
15	Cefsulodin	3.8073549220576	0.938431264726317	0.156899284760217	0.0246173855582677	-2.23659991892055	-1.25446687805344	-1.70193998663091	249.633295633379	50.9079381550958	0.962267730441595	5.01920934327379	0.874217710355966
16	Imipenem	2.32192809488736	2.07555209243892	0.189245909423727	0.0358140142336136	-3.63979998975992	-2.48451802677873	0.473915510584441	155.617237979816	92.366060181117	0.883419078421687	5.3339168814995	0.905922745361766
17	Ceftazidime	3.64385618977472	0.943095985856162	0.667053564184496	0.444960457491239	-2.63389976322651	-0.983682066347337	-1.860158700009	255.261194163907	50.9079381550958	0.935431468659995	4.94024980242946	0.853353067842146
